City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Vetovo,BG,45.81,clear sky,43.7,26.2667,СТАИ ЗА ГОСТИ „ЛОМ“ - Guest House Lom
380,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
383,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
384,Damaturu,NG,66.13,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
385,Bouillante,GP,79.83,scattered clouds,16.1304,-61.7692,Gîtes Dardanelle
387,Manakara,MG,75.47,scattered clouds,-22.1333,48.0167,La Residence Manakara
390,Mamallapuram,IN,79.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
394,Vestmanna,FO,36.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
395,Sungaipenuh,ID,64.29,heavy intensity rain,-2.0833,101.3833,penginapan citra alam
396,Chiriqui Grande,PA,86.07,scattered clouds,8.95,-82.1167,Hotel Atlantic
398,Peshkovo,RU,41.88,few clouds,47.0187,39.3885,Gostinitsa Restoran Zhemchuzhina
400,Paris,FR,39.15,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
401,Kedougou,SN,81.75,few clouds,12.5579,-12.1743,Relais de Kédougou
402,Sambava,MG,78.01,light rain,-14.2667,50.1667,Melrose
403,Maneadero,MX,69.1,clear sky,31.7167,-116.5667,Casa De Thompson
404,Fairlie,GB,44.42,heavy intensity rain,55.756,-4.8556,Brisbane House Hotel
405,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
406,Omboue,GA,77.41,light rain,-1.5746,9.2618,Hotel Olako
407,Hualmay,PE,74.55,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
408,Bozhou,CN,36.57,few clouds,33.8772,115.7703,Haitian Hotel
409,Pathein,MM,71.89,clear sky,16.7833,94.7333,New Pammawaddy Hotel
410,Sao Filipe,CV,78.57,scattered clouds,14.8961,-24.4956,Hotel Xaguate
411,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
413,Namibe,AO,75.94,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
415,Monrovia,LR,80.37,scattered clouds,6.3005,-10.7969,Sunset Inn
416,Khorramshahr,IR,62.56,broken clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
417,Luwingu,ZM,62.11,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
420,Concarneau,FR,39.99,overcast clouds,47.875,-3.9225,Brit Hotel de L' Océan
422,Eureka,US,74.12,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
423,Isiro,CD,76.64,overcast clouds,2.7739,27.616,Guest House Hewa Bora
424,Kerema,PG,75.92,overcast clouds,-7.9631,145.7785,Frena Lodge
425,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
426,Katherine,AU,80.92,moderate rain,-14.4667,132.2667,Pine Tree Motel
427,Sorong,ID,77.9,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
428,Takaungu,KE,77.81,scattered clouds,-3.6837,39.8566,Takaungu House
429,Nantucket,US,50.97,few clouds,41.2835,-70.0995,Jared Coffin House
431,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
432,Necochea,AR,63.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
433,Owando,CG,82.26,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
434,Caravelas,BR,78.75,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
435,Claveria,PH,72.25,scattered clouds,18.6074,121.0832,Casa Grand Inn By The Sea
436,Lazurne,UA,39.02,clear sky,46.084,32.5295,New Manna Hostel
438,Ratanpur,IN,54.84,clear sky,22.3,82.1667,Mahamaya lodge & Mangal Bhawan
440,Urucui,BR,80.24,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
